No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
18,MagicUI-Backgrounds,Use Particles for celebration and ambient atmosphere,Particles creates floating particle effects for ambient atmosphere,Particles for hero sections of AI and science products,Particles as primary visual element without content hierarchy,<Particles className="absolute inset-0" quantity={100}/>,<ParticleSystem/> covering all content,Medium,https://magicui.design/docs/components/particles
19,MagicUI-UIComponents,Use MagicCard for interactive product cards,MagicCard adds mouse-tracking gradient glow to card hover state,MagicCard for premium feature cards and pricing tiers,MagicCard for all cards including simple list items,<MagicCard className="cursor-pointer" gradientColor="#D9D9D955">,Regular hover:bg- for all cards,Low,https://magicui.design/docs/components/magic-card
20,MagicUI-UIComponents,Use BorderBeam for premium container highlight,BorderBeam animates a glowing beam around a container border,BorderBeam for primary CTA containers and premium feature cards,BorderBeam on multiple elements simultaneously,<div className="relative"><BorderBeam/>Content</div>,Multiple BorderBeam on same page,Medium,https://magicui.design/docs/components/border-beam
21,MagicUI-UIComponents,Use Marquee for logo walls and testimonials,Marquee creates infinite scroll carousels without JS complexity,Marquee for partner logos and testimonial streams,Marquee for primary navigation or critical content,<Marquee><Logo1/><Logo2/></Marquee>,<div className="overflow-hidden">,Low,https://magicui.design/docs/components/marquee
22,ReactBits-Setup,Install via shadcn MCP with @react-bits registry,ReactBits uses shadcn registry pattern with custom registry URL,Add @react-bits to components.json registries then use shadcn MCP,Manual download of ReactBits source files,{ registries: { @react-bits: 'https://reactbits.dev/r/{name}.json' } },Download component files manually,High,https://reactbits.dev/get-started/mcp
23,ReactBits-Backgrounds,Use Dither for editorial and AI aesthetics,Dither creates noise-dithered bitmap-style backgrounds with high visual uniqueness,Dither for AI tools and creative agency backgrounds,Dither for e-commerce or family products,Add Dither from @react-bits registry with custom color,Use default Dither without color customization,Medium,https://reactbits.dev/backgrounds
24,ReactBits-Backgrounds,Use Aurora for AI and premium fluid aesthetics,Aurora creates smooth flowing light aurora effects as background,Aurora for AI products VR/AR tools and high-end brand pages,Aurora for productivity tools needing neutral focus environment,Aurora background with brand color palette,Aurora with default colors without theme alignment,Medium,https://reactbits.dev/backgrounds
25,ReactBits-Backgrounds,Use FlowField for data and intelligence narratives,FlowField renders a Perlin noise vector flow field as animated background,FlowField for data analytics AI infrastructure and science products,FlowField for lifestyle consumer apps,FlowField with subdued intensity and brand color vectors,Full-intensity FlowField competing with content,High,https://reactbits.dev/backgrounds
26,ReactBits-Backgrounds,Use Background Studio for visual exploration,Background Studio is a browser-based tool to preview and tune ReactBits backgrounds,Use Background Studio to find right intensity and color before coding,Guess background parameters without previewing,Visit reactbits.dev/tools/background-studio to tune Dither/Aurora,Random parameter choices,Low,https://reactbits.dev/tools/background-studio
27,ReactBits-TextAnimations,Use FadeContent for scroll-triggered reveals,FadeContent adds fade+slide entrance when element enters viewport,FadeContent wrapping all content sections for reveal,FadeContent for above-fold hero content already visible,<FadeContent blur={true} duration={800}><Section/></FadeContent>,Static content without scroll animations,Low,https://reactbits.dev/text-animations
28,ReactBits-TextAnimations,Use SplitText for dramatic title entrances,SplitText animates each character individually for high-drama headlines,SplitText for hero titles and key messaging,SplitText for body text or lists,<SplitText text="Hello World" animation="rise"/>,<h1 className="animate-fade">Hello World</h1>,Low,https://reactbits.dev/text-animations
29,ReactBits-TextAnimations,Use TextPressure for interactive tactile headlines,TextPressure morphs font weight based on mouse proximity creating tactile feel,TextPressure for interactive hero headings inviting engagement,TextPressure for body text or information-dense areas,<TextPressure text="Explore" minFontWeight={100} maxFontWeight={900}/>,Static heading with hover:underline,Low,https://reactbits.dev/text-animations
30,AnimateUI-Setup,Install via shadcn CLI with animate-ui namespace,AnimateUI follows shadcn copy-to-project pattern with animate-ui component names,npx shadcn@latest add animate-ui/button for animated button,npm install animate-ui,npx shadcn@latest add animate-ui/button,npm install animate-ui,High,https://animate-ui.com/docs/mcp
31,AnimateUI-Setup,Enable shadcn MCP for natural language installation,AnimateUI supports shadcn MCP for AI-assisted installation,Configure shadcn MCP server then prompt AI to install animate-ui components,Manual registry browsing and copy,shadcn MCP + "add AnimateUI Button",Browse animate-ui.com manually,Medium,https://animate-ui.com/docs/mcp
32,AnimateUI-Components,Use AnimateUI Button for physical feel CTAs,AnimateUI Button adds Framer Motion spring animation with hoverScale and tapScale,AnimateUI Button for primary CTAs where tactile feedback matters,Regular shadcn Button is fine for utility actions,<Button hoverScale={1.05} tapScale={0.95}>Get Started</Button>,<Button>Get Started</Button> without spring,Low,https://animate-ui.com/docs/components/buttons/button
33,AnimateUI-Components,Tune spring values for brand personality,hoverScale and tapScale control the physical feel of the button,Lower tapScale (0.92) for more dramatic press; higher hoverScale (1.08) for bold hover,Default spring values for all brand contexts,Energetic brand: hoverScale=1.08 tapScale=0.92,Same spring values for corporate and playful brands,Low,https://animate-ui.com/docs/components/buttons/button
34,AnimateUI-Components,Use AnimateUI Dialog for smooth modal transitions,AnimateUI Dialog adds spring-physics open/close animation to Radix Dialog,AnimateUI Dialog for modals that feel native and smooth,AnimateUI Dialog for quick confirmation modals where speed matters more,AnimateUI Dialog with appropriate duration for context,Instant-appear dialog jarring user attention,Medium,https://animate-ui.com/docs/components
35,AnimateUI-Components,Maintain Radix accessibility semantics,AnimateUI wraps Radix components; all ARIA attributes are preserved,Rely on inherited Radix a11y; test with screen reader,Override Radix ARIA without understanding impact,<AnimateUI.Dialog> - accessibility inherited from Radix Dialog,<div role="dialog"> custom implementation,High,https://animate-ui.com/docs/components
36,CombinationPatterns,Combine ReactBits backgrounds with MagicUI text animations,Pair ReactBits generative backgrounds with MagicUI text effects for cohesive hero,ReactBits Dither/Aurora + MagicUI BlurFade for text entrance,Mix multiple background libraries in one page,Dither background + BlurFade headings + AnimateUI CTAs,Dither + Aurora + FlickeringGrid simultaneously,High,
37,CombinationPatterns,Use MagicUI Bento Grid with BlurFade cards,BentoGrid layout with BlurFade animation on each card staggered by index,BentoGrid + staggered BlurFade (delay={0.1 * index}) on cards,BentoGrid with no entrance animation,<BentoCard><BlurFade delay={0.1*i}>{content}</BlurFade></BentoCard>,<BentoCard>{content}</BentoCard>,Medium,
38,CombinationPatterns,Layer AnimateUI interactions over MagicUI layout,MagicUI handles layout and visual components; AnimateUI handles interaction feel,MagicUI cards + AnimateUI button CTAs inside each card,Use both libraries to style the same element differently,MagicCard layout + AnimateUI Button inside,MagicCard button AND AnimateUI Button wrapping same element,Medium,
39,HomogenizationRisk,Avoid direct use of default Globe styling,Globe with default purple/teal colors is widely recognized as MagicUI template,Customize Globe colors to match brand palette,Use Globe with default colors and arcs,Globe with custom colors + brand-colored arc paths,Default purple Globe with generic white arcs,High,https://magicui.design/docs/components/globe
40,HomogenizationRisk,Avoid simultaneous Orbiting + Beam + Globe,Combining all three MagicUI signature effects creates immediately recognizable template look,Choose one signature MagicUI effect per page as hero centerpiece,Stack Globe + OrbitingCircles + AnimatedBeam in same section,Globe as sole hero + OrbitingCircles in different section,Globe + OrbitingCircles + AnimatedBeam in hero,High,
41,Performance,Limit particle count on mobile devices,Particle effects are GPU-intensive; mobile devices need lower counts,Detect mobile and reduce particle count or disable,Full desktop particle count on mobile,if(isMobile) quantity={30} else quantity={100},<Particles quantity={200}/> without device check,High,https://magicui.design/docs/components/particles
42,Performance,Lazy load Globe and heavy WebGL components,Globe requires WebGL and cobe library; lazy load to avoid blocking LCP,React.lazy() for Globe component,Eager import Globe at top of file,const Globe = dynamic(() => import('./Globe') {ssr:false}),import Globe from './Globe' in page component,High,https://magicui.design/docs/components/globe
43,Performance,Respect prefers-reduced-motion,All animated components must check prefers-reduced-motion,Most MagicUI/ReactBits components have built-in support; verify custom combinations,Assume all users want animations,Test with prefers-reduced-motion:reduce in browser DevTools,Skip motion preference check,Medium,
